カテゴリ	問題	解答1	解答2	解答3	解答4	解説
差押え	不動産の差押えにおいて、差押えの効力が発生する原則的な時期はいつか。	滞納者に差押書が送達された時。	差押えの登記が法務局で完了した時。	公売公告が行われた時。	督促状の送達から10日が経過した時。	第68条第2項により、原則として差押書が滞納者に送達された時に効力が生じますが、登記が先行した場合はその時となります。 
差押え	「天然果実」（果物、牛乳等）に対する差押えの効力について正しいものはどれか。	差押えの効力は天然果実に及ぶ。	天然果実には効力が及ばないため、滞納者が自由に処分できる。	滞納者が収穫した後に限り、別途差し押さえる必要がある。	天然果実は「動産」であるため、占有しない限り効力は及ばない。	第52条第1項により、差押えの効力は天然果実にも及びます。ただし使用収益が許可されている場合は収取されるまでの分は除かれます。 
差押え	「法定果実」（家賃等）に対する差押えの効力について正しいものはどれか。	原則として効力は及ばないが、債権差押後の利息には及ぶ。	不動産を差し押さえれば、当然にその後の家賃（法定果実）にも効力が及ぶ。	法定果実にはいかなる場合も効力が及ばないため、常に別途の差押えが必要である。	家賃は不動産の従物として扱われるため、常に差押えの効力が及ぶ。	第52条第2項により、法定果実には原則として効力は及びませんが、債権を差し押さえた場合の差押後の利息には及びます。 
差押え	差押えをしたときに、事績を記録するために徴収職員が必ず作成しなければならない書類はどれか。	差押調書	差押予告通知書	財産没収目録	換価執行決定書	第54条により、財産の区分を問わず差押えをしたときは差押調書を作成しなければなりません。 
差押え	差押えが「徴収権の消滅時効」に与える効果として正しいものはどれか。	時効の完成猶予の効力が生じ、差押えを解除した時から新たに時効が進行（更新）する。	時効が永久に停止し、二度と時効は進行しなくなる。	時効の進行には一切影響を与えない。	時効の完成を1年間だけ遅らせる効果がある。	差押えは時効の完成猶予の効力があり、解除された時から更新されて新たに進行します。 
差押え	継続的収入（給料等）を差し押さえた場合、その効力の及ぶ範囲はどこまでか。	徴収すべき国税の額を限度として、差押え後に受給すべき金額にも及ぶ。	差押通知書が届いた当月分の給料のみに及ぶ。	過去にさかのぼって、既に支払われた給料の返還を求めることができる。	退職金などの臨時的な収入にも、当然にその効力が及ぶ。	第66条により、継続収入の差押えは将来受けるべき金額にも及びますが、退職金のような臨時収入には及びません。 
差押え	差押えを「解除しなければならない」義務的な場合（絶対解除）はどれか。	納付や更正の取消しにより、差押えに係る国税の全額が消滅したとき。	財産の値上がりにより、価額が滞納額を著しく超過したとき。	滞納者が「公売ではなく随意契約で売ってほしい」と申し出たとき。	差押財産が古くなり、管理が困難になったとき。	第79条第1項第1号により、国税が全額消滅した場合は解除しなければなりません。 
差押え	差押えを「解除することができる」裁量的な場合（裁量解除）はどれか。	滞納者が他に差し押さえるべき適当な財産を提供し、それを差し押さえたとき。	国税の一部が納付されたとき（超過の程度を問わない）。	滞納者が「生活が苦しい」と口頭で訴えたとき。	公売を1回実施したが、入札者が一人もいなかったとき。	第79条第2項第2号により、代替財産の提供があり、それを差し押さえた場合は解除することができます。 
差押え	「質権者等への差押通知」の主な目的として正しいものはどれか。	第三者に権利行使の機会（差押換えの請求等）を与えるため。	質権者に対して、滞納者の代わりに税金を払うよう命令するため。	質権自体を無効にし、国税が最も優先されることを知らせるため。	質権者に財産の保管を義務付けるため。	第55条に基づく通知は、差押換えの請求ができる第三者等にその機会を与えることを目的としています。 
差押え	特許権や著作権などの「第三債務者等がない無体財産権等」の差押手続はどのように行うか。	滞納者に対する差押書の送達により行う。	特許庁等での物件の占有により行う。	新聞等の公的メディアへの公示により行う。	滞納者への口頭による宣告のみで行う。	第72条第1項により、第三債務者がない無体財産権等の差押えは、滞納者への差押書の送達により行います。
